#{"t_start": 1637425520.1133301, "env_id": null}
r,l,t
-994.423574,30,139.895453
-980.229433,29,140.216533
-1028.546735,18,140.45979
-990.333317,32,140.800966
-1025.885553,29,141.130353
-520.281182,501,145.509959
-991.765452,24,145.803545
-990.705523,26,146.13386
-989.742656,25,146.430687
-1482.855821,487,150.701391
-978.505068,99,151.636242
-994.607572,42,152.060255
-1113.010944,184,153.703323
-981.541194,35,154.076666
-984.811722,18,154.311162
-1046.764351,112,155.35614
-988.013657,11,155.522501
-1028.112916,97,156.459366
-1034.662258,38,156.852552
-1010.654753,32,157.187669
-1012.126059,36,157.562797
-980.618329,18,157.780562
-1163.882895,172,159.314048
-987.181587,31,159.663758
-463.434966,501,164.069949
-987.169867,12,164.265746
-1013.693236,34,164.620422
-994.678972,22,164.871984
-994.024582,20,165.124223
-1040.669607,24,165.398816
-999.735034,28,165.742079
-1038.164935,40,166.14883
-987.880224,23,166.414373
-996.460607,28,166.735515
-1046.543883,47,167.195304
-994.342529,20,167.445199
-990.497738,22,167.698655
-984.011195,25,167.999261
-986.758491,26,168.295401
-1063.680123,48,168.760752
-1019.844618,41,169.196811
-983.898043,21,169.470927
-1054.916594,128,170.647977
-1019.493761,43,171.098853
-1001.958596,15,171.287648
-1087.293388,78,172.03719
-1005.362445,71,172.712485
-968.279948,33,173.054001
-994.956114,102,173.998827
-1046.327459,48,174.462792
-1180.57603,137,175.741656
-1015.284881,15,175.93333
-997.524052,37,176.332685
-1242.192048,233,178.37625
-1164.443938,129,179.538204
-1014.710915,37,179.9171
-1065.052304,36,180.324309
-1033.207697,21,180.620403
-1014.687673,41,181.031487
-1057.882891,71,181.703639
-1055.609868,32,182.053325
-1055.433404,46,182.542226
-1064.163965,45,182.991035
-1027.208535,52,183.499794
-1058.345549,35,183.887653
-1186.782738,127,185.076904
-484.816093,501,189.478801
-975.853177,22,189.738749
-1141.326251,128,190.908529
-1111.171879,67,191.546483
-1054.683746,33,191.892099
-1048.897041,65,192.599009
-989.802606,15,192.83861
-1002.626992,63,193.459917
-1038.958601,20,193.70096
-998.81254,41,194.11742
-988.433288,31,194.434611
-999.700047,106,195.396956
-1038.023451,20,195.649534
-1043.461863,41,196.066407
-1022.794052,18,196.286603
-1039.459477,21,196.533872
-1033.807881,38,196.947272
-1030.123815,51,197.521984
-1058.35916,35,197.896798
-1043.268097,27,198.193644
-1020.581584,66,198.843227
-1073.92578,71,199.506215
-1042.001672,44,199.977713
-1047.586994,34,200.344224
-1037.065018,20,200.590755
-1019.307643,26,200.884121
-992.597378,44,201.391675
-1053.133015,34,201.767122
-977.979086,49,202.299834
-1030.288472,36,202.699644
-992.068656,40,203.142433
-975.672072,31,203.48798
-1037.113772,48,203.953326
-1039.685045,25,204.246827
-1008.159443,40,204.660274
-986.184064,14,204.852489
-964.985025,74,205.555035
-1023.986602,28,205.855296
-983.696073,26,206.210422
-1078.8116,61,206.829513
-1036.706503,38,207.236294
-992.482448,22,207.49025
-980.339055,35,207.847257
-1032.355931,18,208.062879
-999.47763,32,208.410822
-1008.613346,29,208.723861
-1064.393685,51,209.241217
-1076.165924,47,209.738042
-1087.203583,58,210.310299
-512.511283,501,214.634754
-1013.143642,33,214.98629
-1071.806375,87,215.790334
-987.270048,28,216.095603
-486.288111,501,220.43396
-988.096651,24,220.71928
-1009.847706,32,221.062541
-992.065985,25,221.340152
-457.542024,501,225.676524
-458.472274,501,230.019217
-1015.460128,34,230.383033
-1029.834007,35,230.752889
-983.501724,21,230.996887
-457.411757,501,235.333488
-1035.016076,23,235.59574
-1007.304632,31,235.934933
-454.160497,501,240.274476
-1010.39379,32,240.611873
-1006.474713,31,240.939419
-991.695123,17,241.151071
-460.440577,501,245.518018
-995.621972,28,245.834547
-462.035496,501,250.214498
-1026.385653,33,250.559573
-992.994774,21,250.812619
-1028.192074,18,251.049607
-987.796507,23,251.333438
-1012.725618,14,251.537961
-993.144309,20,251.788256
-461.089976,501,256.174698
-467.644182,501,260.549089
-455.416748,501,264.892099
-1010.16502,32,265.232167
-988.613028,25,265.508899
-998.161191,28,265.822144
-1370.185173,458,269.817008
-968.162092,72,270.523027
-983.850173,32,270.867793
-981.729236,36,271.244966
-1068.646692,67,271.894612
-1021.11178,43,272.337807
